
2/12/19, Clovis North, Clovis North, 3:30
2/15/16, Paso Robles (Varsity), Clovis East, 3:00
2/16/19, Mission Prep (Varsity), CLovis East, 9:00
2/16/19, Hanford (Varsity), Clovis East, 11:00
2/20/19, Liberty (Varsity), Liberty, 2:00
2/22/19, Clovis (JV), Clovis, 3:00
2/26/19, Central, Bullard, 3:30
2/28/19, Handford West, Handford West, 4:00
3/4/19, Handford West (Varsity) , Buchanan, 5:00
3/4/19, Clovis North (Varsity), Buchanan, 7:00
3/6/19, Edison (JV), Buchanan, 3:00
3/6/19, Clovis West (JV), Buchanan, 7:00
3/12/19, Clovis East, Clovis East, 3:30
3/14/19, Buchanan, Bullard, 3:30
3/22/19, Clovis West, Bullard, 3:30
3/26/19, Madera, Madera, 3:30
3/29/19, Edison, Bullard, 3:30
4/2/19, Sanger, Sanger, 3:30
4/5/19, San Joaquin Memorial, Bullard, 3:30
4/9/19, Madera South, Bullard, 3:30
4/12/19, Madera, Bullard, 3:30
4/23/19, Edison, Edison, 3:30
4/30/19, San Joaquin Memorial, San Joaquin Memorial, 3:30
5/2/19, Madera South, Bullard, 3:30
